i,word,freq,ipa,xsampa
125,пеш,915,"['p', 'e', 'ʃ']","['p', 'e', 'S']"
126,тамоми,914,"['t', 'æ', 'm', 'ɔ', 'm', 'i']","['t', '{', 'm', 'O', 'm', 'i']"
129,ҷумла,907,"['d͡ʒ', 'u', 'm', 'l', 'æ']","['dZ', 'u', 'm', 'l', '{']"
130,ном,904,"['n', 'ɔ', 'm']","['n', 'O', 'm']"
131,нав,903,"['n', 'æ', 'v']","['n', '{', 'v']"
132,танҳо,903,"['t', 'æ', 'n', 'h', 'ɔ']","['t', '{', 'n', 'h', 'O']"
133,гуногун,896,"['ɡ', 'u', 'n', 'ɔ', 'ɡ', 'u', 'n']","['g', 'u', 'n', 'O', 'g', 'u', 'n']"
134,замони,894,"['z', 'æ', 'm', 'ɔ', 'n', 'i']","['z', '{', 'm', 'O', 'n', 'i']"
135,шудани,894,"['ʃ', 'u', 'd', 'æ', 'n', 'i']","['S', 'u', 'd', '{', 'n', 'i']"
137,карданд,871,"['k', 'æ', 'r', 'd', 'æ', 'n', 'd']","['k', '{', 'r', 'd', '{', 'n', 'd']"
138,дошта,868,"['d', 'ɔ', 'ʃ', 't', 'æ']","['d', 'O', 'S', 't', '{']"
139,аввал,864,"['æ', 'v', 'v', 'æ', 'l']","['{', 'v', 'v', '{', 'l']"
140,назди,864,"['n', 'æ', 'z', 'd', 'i']","['n', '{', 'z', 'd', 'i']"
141,таърихи,864,"['t', 'æ', 'ʔ', 'r', 'i', 'χ', 'i']","['t', '{', '?', 'r', 'i', 'X', 'i']"
143,оғоз,849,"['ɔ', 'ʁ', 'ɔ', 'z']","['O', 'R', 'O', 'z']"
144,нақши,847,"['n', 'æ', 'q', 'ʃ', 'i']","['n', '{', 'q', 'S', 'i']"
145,калон,844,"['k', 'æ', 'l', 'ɔ', 'n']","['k', '{', 'l', 'O', 'n']"
147,оид,841,"['ɔ', 'i', 'd']","['O', 'i', 'd']"
148,мувофиқ,840,"['m', 'u', 'v', 'ɔ', 'f', 'i', 'q']","['m', 'u', 'v', 'O', 'f', 'i', 'q']"
149,тасвиб,838,"['t', 'æ', 's', 'v', 'i', 'b']","['t', '{', 's', 'v', 'i', 'b']"
150,мегирад,836,"['m', 'e', 'ɡ', 'i', 'r', 'æ', 'd']","['m', 'e', 'g', 'i', 'r', '{', 'd']"
151,роҳи,826,"['r', 'ɔ', 'h', 'i']","['r', 'O', 'h', 'i']"
152,мекарданд,824,"['m', 'e', 'k', 'æ', 'r', 'd', 'æ', 'n', 'd']","['m', 'e', 'k', '{', 'r', 'd', '{', 'n', 'd']"
153,сар,819,"['s', 'æ', 'r']","['s', '{', 'r']"
154,шакли,819,"['ʃ', 'æ', 'k', 'l', 'i']","['S', '{', 'k', 'l', 'i']"
155,дохил,818,"['d', 'ɔ', 'χ', 'i', 'l']","['d', 'O', 'X', 'i', 'l']"
156,ибни,817,"['i', 'b', 'n', 'i']","['i', 'b', 'n', 'i']"
157,тарафи,810,"['t', 'æ', 'r', 'æ', 'f', 'i']","['t', '{', 'r', '{', 'f', 'i']"
158,намудани,806,"['n', 'æ', 'm', 'u', 'd', 'æ', 'n', 'i']","['n', '{', 'm', 'u', 'd', '{', 'n', 'i']"
159,сохта,800,"['s', 'ɔ', 'χ', 't', 'æ']","['s', 'O', 'X', 't', '{']"
161,гирифт,798,"['ɡ', 'i', 'r', 'i', 'f', 't']","['g', 'i', 'r', 'i', 'f', 't']"
162,ҳама,795,"['h', 'æ', 'm', 'æ']","['h', '{', 'm', '{']"
163,аҳолии,791,"['æ', 'h', 'ɔ', 'l', 'i', 'i']","['{', 'h', 'O', 'l', 'i', 'i']"
164,асосан,788,"['æ', 's', 'ɔ', 's', 'æ', 'n']","['{', 's', 'O', 's', '{', 'n']"
165,се,782,"['s', 'e']","['s', 'e']"
166,вале,778,"['v', 'æ', 'l', 'e']","['v', '{', 'l', 'e']"
167,моҳи,778,"['m', 'ɔ', 'h', 'i']","['m', 'O', 'h', 'i']"
168,асоси,777,"['æ', 's', 'ɔ', 's', 'i']","['{', 's', 'O', 's', 'i']"
169,чунин,777,"['t͡ʃ', 'u', 'n', 'i', 'n']","['tS', 'u', 'n', 'i', 'n']"
171,Душанбе,761,"['d', 'u', 'ʃ', 'æ', 'n', 'b', 'e']","['d', 'u', 'S', '{', 'n', 'b', 'e']"
172,амал,759,"['æ', 'm', 'æ', 'l']","['{', 'm', '{', 'l']"
174,натиҷаи,741,"['n', 'æ', 't', 'i', 'd͡ʒ', 'æ', 'i']","['n', '{', 't', 'i', 'dZ', '{', 'i']"
175,соҳаи,738,"['s', 'ɔ', 'h', 'æ', 'i']","['s', 'O', 'h', '{', 'i']"
177,ҷониби,736,"['d͡ʒ', 'ɔ', 'n', 'i', 'b', 'i']","['dZ', 'O', 'n', 'i', 'b', 'i']"
178,нишасти,722,"['n', 'i', 'ʃ', 'æ', 's', 't', 'i']","['n', 'i', 'S', '{', 's', 't', 'i']"
179,таҳсил,716,"['t', 'æ', 'h', 's', 'i', 'l']","['t', '{', 'h', 's', 'i', 'l']"
180,қатънома,715,"['q', 'æ', 't', 'ʔ', 'n', 'ɔ', 'm', 'æ']","['q', '{', 't', '?', 'n', 'O', 'm', '{']"
181,ҷаҳон,714,"['d͡ʒ', 'æ', 'h', 'ɔ', 'n']","['dZ', '{', 'h', 'O', 'n']"
182,дорои,709,"['d', 'ɔ', 'r', 'ɔ', 'i']","['d', 'O', 'r', 'O', 'i']"
183,медиҳанд,707,"['m', 'e', 'd', 'i', 'h', 'æ', 'n', 'd']","['m', 'e', 'd', 'i', 'h', '{', 'n', 'd']"
184,таъсис,706,"['t', 'æ', 'ʔ', 's', 'i', 's']","['t', '{', '?', 's', 'i', 's']"
185,аммо,705,"['æ', 'm', 'm', 'ɔ']","['{', 'm', 'm', 'O']"
186,нест,700,"['n', 'e', 's', 't']","['n', 'e', 's', 't']"
188,охири,691,"['ɔ', 'χ', 'i', 'r', 'i']","['O', 'X', 'i', 'r', 'i']"
189,мухолиф,690,"['m', 'u', 'χ', 'ɔ', 'l', 'i', 'f']","['m', 'u', 'X', 'O', 'l', 'i', 'f']"
190,мусиқии,686,"['m', 'u', 's', 'i', 'q', 'i', 'i']","['m', 'u', 's', 'i', 'q', 'i', 'i']"
191,кафедраи,684,"['k', 'æ', 'f', 'e', 'd', 'r', 'æ', 'i']","['k', '{', 'f', 'e', 'd', 'r', '{', 'i']"
193,мешуд,675,"['m', 'e', 'ʃ', 'u', 'd']","['m', 'e', 'S', 'u', 'd']"
195,баъди,670,"['b', 'æ', 'ʔ', 'd', 'i']","['b', '{', '?', 'd', 'i']"
196,ҷудо,670,"['d͡ʒ', 'u', 'd', 'ɔ']","['dZ', 'u', 'd', 'O']"
197,сатҳи,669,"['s', 'æ', 't', 'h', 'i']","['s', '{', 't', 'h', 'i']"
198,аввалин,668,"['æ', 'v', 'v', 'æ', 'l', 'i', 'n']","['{', 'v', 'v', '{', 'l', 'i', 'n']"
200,осори,667,"['ɔ', 's', 'ɔ', 'r', 'i']","['O', 's', 'O', 'r', 'i']"
201,мумтанеъ,665,"['m', 'u', 'm', 't', 'æ', 'n', 'e', 'ʔ']","['m', 'u', 'm', 't', '{', 'n', 'e', '?']"
202,таъсири,665,"['t', 'æ', 'ʔ', 's', 'i', 'r', 'i']","['t', '{', '?', 's', 'i', 'r', 'i']"
203,корҳои,662,"['k', 'ɔ', 'r', 'h', 'ɔ', 'i']","['k', 'O', 'r', 'h', 'O', 'i']"
204,анҷом,656,"['æ', 'n', 'd͡ʒ', 'ɔ', 'm']","['{', 'n', 'dZ', 'O', 'm']"
205,гардидааст,653,"['ɡ', 'æ', 'r', 'd', 'i', 'd', 'æ', 'æ', 's', 't']","['g', '{', 'r', 'd', 'i', 'd', '{', '{', 's', 't']"
206,замон,653,"['z', 'æ', 'm', 'ɔ', 'n']","['z', '{', 'm', 'O', 'n']"
208,кардан,651,"['k', 'æ', 'r', 'd', 'æ', 'n']","['k', '{', 'r', 'd', '{', 'n']"
209,аввали,649,"['æ', 'v', 'v', 'æ', 'l', 'i']","['{', 'v', 'v', '{', 'l', 'i']"
210,на,644,"['n', 'æ']","['n', '{']"
211,назар,640,"['n', 'æ', 'z', 'æ', 'r']","['n', '{', 'z', '{', 'r']"
212,онҳоро,638,"['ɔ', 'n', 'h', 'ɔ', 'r', 'ɔ']","['O', 'n', 'h', 'O', 'r', 'O']"
213,хатм,638,"['χ', 'æ', 't', 'm']","['X', '{', 't', 'm']"
214,боз,637,"['b', 'ɔ', 'z']","['b', 'O', 'z']"
215,кишвар,634,"['k', 'i', 'ʃ', 'v', 'æ', 'r']","['k', 'i', 'S', 'v', '{', 'r']"
