i,word,freq,ipa,xsampa
20599,Ibrahimu,4,"['i', 'b', 'ɾ', 'a', 'h', 'i', 'm', 'u']","['i', 'b', '4', 'a', 'h', 'i', 'm', 'u']"
20600,Ida,4,"['i', 'd', 'a']","['i', 'd', 'a']"
20601,Idi,4,"['i', 'd', 'i']","['i', 'd', 'i']"
20605,Ike,4,"['i', 'k', 'e']","['i', 'k', 'e']"
20607,Ilhas,4,"['i', 'l', 'h', 'a', 's']","['i', 'l', 'h', 'a', 's']"
20608,Iliendelea,4,"['i', 'l', 'i', 'e', 'n', 'd', 'e', 'l', 'e', 'a']","['i', 'l', 'i', 'e', 'n', 'd', 'e', 'l', 'e', 'a']"
20609,Ilifanikiwa,4,"['i', 'l', 'i', 'f', 'a', 'n', 'i', 'k', 'i', 'w', 'a']","['i', 'l', 'i', 'f', 'a', 'n', 'i', 'k', 'i', 'w', 'a']"
20612,Ilivyofika,4,"['i', 'l', 'i', 'v', 'j', 'o', 'f', 'i', 'k', 'a']","['i', 'l', 'i', 'v', 'j', 'o', 'f', 'i', 'k', 'a']"
20613,Iliwahi,4,"['i', 'l', 'i', 'w', 'a', 'h', 'i']","['i', 'l', 'i', 'w', 'a', 'h', 'i']"
20614,Illmatic,4,"['i', 'l', 'l', 'm', 'a', 't', 'i', 'c']","['i', 'l', 'l', 'm', 'a', 't', 'i', 'c']"
20615,Illustrated,4,"['i', 'l', 'l', 'u', 's', 't', 'ɾ', 'a', 't', 'e', 'd']","['i', 'l', 'l', 'u', 's', 't', '4', 'a', 't', 'e', 'd']"
20616,Imaan,4,"['i', 'm', 'a', 'a', 'n']","['i', 'm', 'a', 'a', 'n']"
20618,Imenti,4,"['i', 'm', 'e', 'n', 't', 'i']","['i', 'm', 'e', 'n', 't', 'i']"
20619,Imesemekana,4,"['i', 'm', 'e', 's', 'e', 'm', 'e', 'k', 'a', 'n', 'a']","['i', 'm', 'e', 's', 'e', 'm', 'e', 'k', 'a', 'n', 'a']"
20620,Inaanza,4,"['i', 'n', 'a', 'a', 'n', 'z', 'a']","['i', 'n', 'a', 'a', 'n', 'z', 'a']"
20621,Inafikiriwa,4,"['i', 'n', 'a', 'f', 'i', 'k', 'i', 'ɾ', 'i', 'w', 'a']","['i', 'n', 'a', 'f', 'i', 'k', 'i', '4', 'i', 'w', 'a']"
20622,Inahesabiwa,4,"['i', 'n', 'a', 'h', 'e', 's', 'a', 'b', 'i', 'w', 'a']","['i', 'n', 'a', 'h', 'e', 's', 'a', 'b', 'i', 'w', 'a']"
20623,Inahusisha,4,"['i', 'n', 'a', 'h', 'u', 's', 'i', 'ʃ', 'a']","['i', 'n', 'a', 'h', 'u', 's', 'i', 'S', 'a']"
20624,Inahusu,4,"['i', 'n', 'a', 'h', 'u', 's', 'u']","['i', 'n', 'a', 'h', 'u', 's', 'u']"
20625,Inasimulia,4,"['i', 'n', 'a', 's', 'i', 'm', 'u', 'l', 'i', 'a']","['i', 'n', 'a', 's', 'i', 'm', 'u', 'l', 'i', 'a']"
20626,Inauzwa,4,"['i', 'n', 'a', 'u', 'z', 'w', 'a']","['i', 'n', 'a', 'u', 'z', 'w', 'a']"
20627,Inazunguka,4,"['i', 'n', 'a', 'z', 'u', 'n', 'ɡ', 'u', 'k', 'a']","['i', 'n', 'a', 'z', 'u', 'n', 'g', 'u', 'k', 'a']"
20628,Incredible,4,"['i', 'n', 'c', 'ɾ', 'e', 'd', 'i', 'b', 'l', 'e']","['i', 'n', 'c', '4', 'e', 'd', 'i', 'b', 'l', 'e']"
20629,Independence,4,"['i', 'n', 'd', 'e', 'p', 'e', 'n', 'd', 'e', 'n', 'c', 'e']","['i', 'n', 'd', 'e', 'p', 'e', 'n', 'd', 'e', 'n', 'c', 'e']"
20630,Independiente,4,"['i', 'n', 'd', 'e', 'p', 'e', 'n', 'd', 'i', 'e', 'n', 't', 'e']","['i', 'n', 'd', 'e', 'p', 'e', 'n', 'd', 'i', 'e', 'n', 't', 'e']"
20632,Ingram,4,"['i', 'n', 'ɡ', 'ɾ', 'a', 'm']","['i', 'n', 'g', '4', 'a', 'm']"
20633,Iniesta,4,"['i', 'n', 'i', 'e', 's', 't', 'a']","['i', 'n', 'i', 'e', 's', 't', 'a']"
20634,Initiative,4,"['i', 'n', 'i', 't', 'i', 'a', 't', 'i', 'v', 'e']","['i', 'n', 'i', 't', 'i', 'a', 't', 'i', 'v', 'e']"
20635,Internazionale,4,"['i', 'n', 't', 'e', 'ɾ', 'n', 'a', 'z', 'i', 'o', 'n', 'a', 'l', 'e']","['i', 'n', 't', 'e', '4', 'n', 'a', 'z', 'i', 'o', 'n', 'a', 'l', 'e']"
20636,Interscope,4,"['i', 'n', 't', 'e', 'ɾ', 's', 'c', 'o', 'p', 'e']","['i', 'n', 't', 'e', '4', 's', 'c', 'o', 'p', 'e']"
20637,Inuit,4,"['i', 'n', 'u', 'i', 't']","['i', 'n', 'u', 'i', 't']"
20638,Invisible,4,"['i', 'n', 'v', 'i', 's', 'i', 'b', 'l', 'e']","['i', 'n', 'v', 'i', 's', 'i', 'b', 'l', 'e']"
20639,Irina,4,"['i', 'ɾ', 'i', 'n', 'a']","['i', '4', 'i', 'n', 'a']"
20640,Isabella,4,"['i', 's', 'a', 'b', 'e', 'l', 'l', 'a']","['i', 's', 'a', 'b', 'e', 'l', 'l', 'a']"
