i,word,freq,ipa,xsampa
16882,Kinda,3,"['k', 'i', 'n', 'd', 'a']","['k', 'i', 'n', 'd', 'a']"
16884,Kingdom,3,"['k', 'i', 'ə̯', 'ŋ', 'd', 'ɔ', 'm']","['k', 'i', '@_^', 'N', 'd', 'O', 'm']"
16885,Kingsland,3,"['k', 'i', 'ə̯', 'ŋ', 's', 'l', 'a', 'n', 'd']","['k', 'i', '@_^', 'N', 's', 'l', 'a', 'n', 'd']"
16886,Kingsley,3,"['k', 'i', 'ə̯', 'ŋ', 's', 'l', 'e', 'y']","['k', 'i', '@_^', 'N', 's', 'l', 'e', 'y']"
16887,Kingsville,3,"['k', 'i', 'ə̯', 'ŋ', 's', 'v', 'i', 'l', 'l', 'e']","['k', 'i', '@_^', 'N', 's', 'v', 'i', 'l', 'l', 'e']"
16888,Kirby,3,"['k', 'i', 'r', 'b', 'y']","['k', 'i', 'r', 'b', 'y']"
16889,Kirovograd,3,"['k', 'i', 'r', 'ə', 'v', 'ə', 'ɡ', 'r', 'a', 'd']","['k', 'i', 'r', '@', 'v', '@', 'g', 'r', 'a', 'd']"
16890,Kirtland,3,"['k', 'i', 'r', 't', 'l', 'a', 'n', 'd']","['k', 'i', 'r', 't', 'l', 'a', 'n', 'd']"
16891,Kitsch,3,"['k', 'i', 't', 's', 't͡s', '˥']","['k', 'i', 't', 's', 'ts', '_T']"
16892,Kitts,3,"['k', 'i', 't', 't͡s']","['k', 'i', 't', 'ts']"
16901,Klagstorp,3,"['k', 'l', 'a', 'ɡ', 's', 't', 'ə', 'r', 'p']","['k', 'l', 'a', 'g', 's', 't', '@', 'r', 'p']"
16902,Klein,3,"['k', 'l', 'e', 'i', 'n']","['k', 'l', 'e', 'i', 'n']"
16904,Kleszczele,3,"['k', 'l', 'e', 's', 'z', 'c', 'z', 'e', 'l', 'e']","['k', 'l', 'e', 's', 'z', 'c', 'z', 'e', 'l', 'e']"
16908,Kmiece,3,"['k', 'm', 'i', 'e', 'c', 'e']","['k', 'm', 'i', 'e', 'c', 'e']"
16910,Knieja,3,"['k', 'n', 'i', 'e', 'd͡z', 'a']","['k', 'n', 'i', 'e', 'dz', 'a']"
16911,Knorydy,3,"['k', 'n', 'ə', 'r', 'y', 'd', 'y']","['k', 'n', '@', 'r', 'y', 'd', 'y']"
16919,Kobayasi,3,"['k', 'ə', 'b', 'a', 'y', 'a', 'ɕ']","['k', '@', 'b', 'a', 'y', 'a', 's\\']"
16920,Kocaeli,3,"['k', 'ə', 'c', 'a', 'e', 'l', 'i']","['k', '@', 'c', 'a', 'e', 'l', 'i']"
16921,Kochapogan,3,"['k', 'ə', 't͡s', 'a', 'p', 'ɤ', 'ɡ', 'a', 'n', '˥']","['k', '@', 'ts', 'a', 'p', '7', 'g', 'a', 'n', '_T']"
16922,Kocierzew,3,"['k', 'ə', 'c', 'i', 'e', 'r', 'z', 'e', 'w']","['k', '@', 'c', 'i', 'e', 'r', 'z', 'e', 'w']"
16936,Koniec,3,"['k', 'ə', 'n', 'i', 'e', 'c']","['k', '@', 'n', 'i', 'e', 'c']"
16937,Konstantin,3,"['k', 'ə', 'n', 's', 't', 'a', 'n', 't', 'i', 'n']","['k', '@', 'n', 's', 't', 'a', 'n', 't', 'i', 'n']"
16938,Konya,3,"['k', 'ə', 'n', 'y', 'a']","['k', '@', 'n', 'y', 'a']"
16939,Kopanie,3,"['k', 'ɔ', 'p', 'a', 'n', 'i', 'e']","['k', 'O', 'p', 'a', 'n', 'i', 'e']"
16940,Kopanina,3,"['k', 'ɔ', 'p', 'a', 'n', 'i', 'n', 'a']","['k', 'O', 'p', 'a', 'n', 'i', 'n', 'a']"
16941,Kornowac,3,"['k', 'ə', 'r', 'n', 'ə', 'w', 'a', 'c']","['k', '@', 'r', 'n', '@', 'w', 'a', 'c']"
16943,Kota,3,"['k', 'ə', 't', 'a']","['k', '@', 't', 'a']"
16944,Kotlin,3,"['k', 'ə', 't', 'l', 'i', 'n']","['k', '@', 't', 'l', 'i', 'n']"
