i,word,freq,ipa,xsampa
9096,Francesco,16,"['f', 'z̩', 'ã', 'c', 'e̞', 's', 'c', 'o']","['f', 'z=', 'a~', 'c', 'e_o', 's', 'c', 'o']"
9097,Kim,16,"['k', 'i', 'm']","['k', 'i', 'm']"
9098,Maurice,16,"['m', 'ɔ', 'z̩', 'i', 'c', 'e̞']","['m', 'O', 'z=', 'i', 'c', 'e_o']"
9101,Philip,16,"['pʰ', 'i', 'l', 'i', 'p']","['p_h', 'i', 'l', 'i', 'p']"
9102,Port,16,"['p', 'o', 'z̩', 't']","['p', 'o', 'z=', 't']"
9103,Project,16,"['p', 'z̩', 'o', 't͡ɕ', 'e̞', 'c', 't']","['p', 'z=', 'o', 'ts\\', 'e_o', 'c', 't']"
9107,Y,16,['y'],['y']
9579,Frank,15,"['f', 'z̩', 'ã', 'k']","['f', 'z=', 'a~', 'k']"
9580,Free,15,"['f', 'z̩', 'e̞', 'e̞']","['f', 'z=', 'e_o', 'e_o']"
9582,Hans,15,"['h', 'ã', 's']","['h', 'a~', 's']"
9583,Hill,15,"['h', 'i', 'l', 'l']","['h', 'i', 'l', 'l']"
9586,Man,15,"['m', 'ã']","['m', 'a~']"
9587,Nick,15,"['n', 'i', 'c', 'k']","['n', 'i', 'c', 'k']"
9589,Science,15,"['s', 'c', 'i', 'ə', 'ɲ', 'c', 'e̞']","['s', 'c', 'i', '@', 'J', 'c', 'e_o']"
9590,Stephen,15,"['s', 't', 'e̞', 'pʰ', 'ə', 'ɲ']","['s', 't', 'e_o', 'p_h', '@', 'J']"
9591,Tower,15,"['t', 'o', 'w', 'ə', 'ɻ']","['t', 'o', 'w', '@', 'r\\`']"
9592,an,15,['ã'],['a~']
9595,ki,15,"['k', 'i']","['k', 'i']"
9597,s,15,['s'],['s']
9598,with,15,"['w', 'i', 'tʰ']","['w', 'i', 't_h']"
10091,Ernest,14,"['ə', 'ɻ', 'n', 'e̞', 's', 't']","['@', 'r\\`', 'n', 'e_o', 's', 't']"
10098,Les,14,"['l', 'e̞', 's']","['l', 'e_o', 's']"
10102,Michel,14,"['m', 'i', 'c', 'h', 'e̞', 'l']","['m', 'i', 'c', 'h', 'e_o', 'l']"
10106,München,14,"['m', 'ü', 'n', 'c', 'h', 'ə', 'ɲ']","['m', 'u_""', 'n', 'c', 'h', '@', 'J']"
10108,Office,14,"['o', 'f', 'f', 'i', 'c', 'e̞']","['o', 'f', 'f', 'i', 'c', 'e_o']"
10109,Pietro,14,"['p', 'i', 'e̞', 't', 'z̩', 'o']","['p', 'i', 'e_o', 't', 'z=', 'o']"
10110,Prince,14,"['p', 'z̩', 'ɪ', 'ɲ', 'c', 'e̞']","['p', 'z=', 'I', 'J', 'c', 'e_o']"
10113,Rose,14,"['z̩', 'o', 's', 'e̞']","['z=', 'o', 's', 'e_o']"
10116,S1,14,['s'],['s']
10117,Santos,14,"['s', 'ã', 't', 'o', 's']","['s', 'a~', 't', 'o', 's']"
10119,Tim,14,"['t', 'i', 'm']","['t', 'i', 'm']"
10732,Joan,13,"['t͡ɕ', 'o', 'ã']","['ts\\', 'o', 'a~']"
10734,Josef,13,"['t͡ɕ', 'o', 's', 'e̞', 'f']","['ts\\', 'o', 's', 'e_o', 'f']"
10735,Khan,13,"['kʰ', 'ã']","['k_h', 'a~']"
10737,R,13,['z̩'],['z=']
10740,Stock,13,"['s', 't', 'o', 'c', 'k']","['s', 't', 'o', 'c', 'k']"
10742,Tom,13,"['t', 'o', 'm']","['t', 'o', 'm']"
