i,word,freq,ipa,xsampa
199,kasta,1147,"['k', 'æ', 's', 't', 'æ']","['k', '{', 's', 't', '{']"
200,kusoo,1145,"['k', 'u', 's', 'ɔː']","['k', 'u', 's', 'O:']"
201,Dowladda,1138,"['d', 'ɔ', 'w', 'l', 'æ', 'd', 'd', 'æ']","['d', 'O', 'w', 'l', '{', 'd', 'd', '{']"
202,Jabuuti,1132,"['d͡ʒ', 'æ', 'b', 'uː', 't', 'i']","['dZ', '{', 'b', 'u:', 't', 'i']"
203,Dowlada,1129,"['d', 'ɔ', 'w', 'l', 'æ', 'd', 'æ']","['d', 'O', 'w', 'l', '{', 'd', '{']"
204,hor,1114,"['h', 'ɔ', 'r']","['h', 'O', 'r']"
205,Yuusuf,1111,"['j', 'uː', 's', 'u', 'f']","['j', 'u:', 's', 'u', 'f']"
206,kuwaas,1101,"['k', 'u', 'w', 'æː', 's']","['k', 'u', 'w', '{:', 's']"
207,way,1100,"['w', 'æ', 'j']","['w', '{', 'j']"
208,dhashay,1080,"['ɖ', 'æ', 'ʃ', 'æ', 'j']","['d`', '{', 'S', '{', 'j']"
209,Ra,1074,"['r', 'æ']","['r', '{']"
210,From,1060,"['f', 'r', 'ɔ', 'm']","['f', 'r', 'O', 'm']"
211,cid,1060,"['ʕ', 'i', 'd']","['?\\', 'i', 'd']"
214,Aadan,1040,"['æː', 'd', 'æ', 'n']","['{:', 'd', '{', 'n']"
215,gaaray,1037,"['ɡ', 'æː', 'r', 'æ', 'j']","['g', '{:', 'r', '{', 'j']"
216,dawladda,1035,"['d', 'æ', 'w', 'l', 'æ', 'd', 'd', 'æ']","['d', '{', 'w', 'l', '{', 'd', 'd', '{']"
217,intii,1034,"['i', 'n', 't', 'iː']","['i', 'n', 't', 'i:']"
218,gacan,1025,"['ɡ', 'æ', 'ʕ', 'æ', 'n']","['g', '{', '?\\', '{', 'n']"
219,Cabdi,1015,"['ʕ', 'æ', 'b', 'd', 'i']","['?\\', '{', 'b', 'd', 'i']"
220,amaanka,1009,"['æ', 'm', 'æː', 'n', 'k', 'æ']","['{', 'm', '{:', 'n', 'k', '{']"
221,dilay,1003,"['d', 'i', 'l', 'æ', 'j']","['d', 'i', 'l', '{', 'j']"
