i,word,freq,ipa,xsampa
120,ڕۆڵی,937,"['r', 'o', 'ɫ', 'iː']","['r', 'o', '5', 'i:']"
121,خەڵکی,928,"['x', 'ɛ', 'ɫ', 'k', 'iː']","['x', 'E', '5', 'k', 'i:']"
122,تشرینی,926,"['t', 'ʃ', 'ɾ', 'iː', 'n', 'iː']","['t', 'S', '4', 'i:', 'n', 'i:']"
123,کەم,922,"['k', 'ɛ', 'm']","['k', 'E', 'm']"
124,خۆیان,920,"['x', 'o', 'iː', 'a', 'n']","['x', 'o', 'i:', 'a', 'n']"
125,بەناوی,918,"['b', 'ɛ', 'n', 'a', 'u', 'iː']","['b', 'E', 'n', 'a', 'u', 'i:']"
126,باشترین,909,"['b', 'a', 'ʃ', 't', 'ɾ', 'iː', 'n']","['b', 'a', 'S', 't', '4', 'i:', 'n']"
128,بەپێی,901,"['b', 'ɛ', 'p', 'e', 'iː']","['b', 'E', 'p', 'e', 'i:']"
129,سەدەی,898,"['s', 'ɛ', 'd', 'ɛ', 'iː']","['s', 'E', 'd', 'E', 'i:']"
130,کرا,896,"['k', 'ɾ', 'a']","['k', '4', 'a']"
132,نزیکەی,880,"['n', 'z', 'iː', 'k', 'ɛ', 'iː']","['n', 'z', 'i:', 'k', 'E', 'i:']"
133,گەورە,874,"['ɡ', 'ɛ', 'u', 'ɾ', 'ɛ']","['g', 'E', 'u', '4', 'E']"
134,ناوەندی,867,"['n', 'a', 'u', 'ɛ', 'n', 'd', 'iː']","['n', 'a', 'u', 'E', 'n', 'd', 'i:']"
135,لەبەر,857,"['l', 'ɛ', 'b', 'ɛ', 'ɾ']","['l', 'E', 'b', 'E', '4']"
139,ڕۆژی,834,"['r', 'o', 'ʒ', 'iː']","['r', 'o', 'Z', 'i:']"
141,تایبەت,829,"['t', 'a', 'iː', 'b', 'ɛ', 't']","['t', 'a', 'i:', 'b', 'E', 't']"
142,دەبێتە,828,"['d', 'ɛ', 'b', 'e', 't', 'ɛ']","['d', 'E', 'b', 'e', 't', 'E']"
143,دەدات,828,"['d', 'ɛ', 'd', 'a', 't']","['d', 'E', 'd', 'a', 't']"
144,چونکە,826,"['t͡ʃ', 'u', 'n', 'k', 'ɛ']","['tS', 'u', 'n', 'k', 'E']"
145,شێوەی,821,"['ʃ', 'e', 'u', 'ɛ', 'iː']","['S', 'e', 'u', 'E', 'i:']"
147,کۆچی,811,"['k', 'o', 't͡ʃ', 'iː']","['k', 'o', 'tS', 'i:']"
148,زانکۆی,809,"['z', 'a', 'n', 'k', 'o', 'iː']","['z', 'a', 'n', 'k', 'o', 'i:']"
149,بۆیە,803,"['b', 'o', 'j', 'e']","['b', 'o', 'j', 'e']"
150,سەرۆکی,799,"['s', 'ɛ', 'ɾ', 'o', 'k', 'iː']","['s', 'E', '4', 'o', 'k', 'i:']"
