i,word,freq,ipa,xsampa
8285,Facebook,203,"['f', 'a', 't͡sʰ', 'ɤ', 'p', 'u̯', 'ɔ', 'o', 'kʰ']","['f', 'a', 'ts_h', '7', 'p', 'u_^', 'O', 'o', 'k_h']"
8286,York,203,"['i̯', 'ɔ', 'ɻ', 'kʰ']","['i_^', 'O', 'r\\`', 'k_h']"
8360,Life,201,"['l', 'i', 'f', 'ɤ']","['l', 'i', 'f', '7']"
8458,Group,198,"['k', 'ʐ', 'o', 'ʊ̯', 'pʰ']","['k', 'z`', 'o', 'U_^', 'p_h']"
8500,G,197,['k'],['k']
8621,CPU,193,"['t͡sʰ', 'pʰ', 'u']","['ts_h', 'p_h', 'u']"
8784,In,188,"['i', 'n']","['i', 'n']"
8822,Android,187,"['a', 'n', 't', 'ʐ', 'o', 'i', 't']","['a', 'n', 't', 'z`', 'o', 'i', 't']"
8853,Henry,186,"['x', 'ə', 'ɻ', 'i̯']","['x', '@', 'r\\`', 'i_^']"
8891,NHK,185,"['n', 'x', 'kʰ']","['n', 'x', 'k_h']"
8928,Smith,184,"['s', 'm', 'i', 'tʰ', 'x']","['s', 'm', 'i', 't_h', 'x']"
8929,p,184,['pʰ'],['p_h']
9076,College,180,"['t͡sʰ', 'o', 'l', 'l', 'ɤ', 'k', 'ɤ']","['ts_h', 'o', 'l', 'l', '7', 'k', '7']"
9158,Club,178,"['t͡sʰ', 'l', 'u', 'p']","['ts_h', 'l', 'u', 'p']"
9196,al,177,"['a', 'l']","['a', 'l']"
9230,des,176,"['t', 'ɤ', 's']","['t', '7', 's']"
9349,High,173,"['x', 'i', 'k', 'x']","['x', 'i', 'k', 'x']"
9350,mainmain,173,"['m', 'a', 'i̯', 'n', 'm', 'a', 'i̯', 'n']","['m', 'a', 'i_^', 'n', 'm', 'a', 'i_^', 'n']"
9398,Y,172,['i̯'],['i_^']
9438,Super,171,"['s', 'u', 'pʰ', 'ɻ̩']","['s', 'u', 'p_h', 'r\\`=']"
9494,von,170,"['v', 'o', 'n']","['v', 'o', 'n']"
9543,China,169,"['ʈ͡ʂʰ', 'z̩', 'n', 'a']","['ts`_h', 'z=', 'n', 'a']"
9585,Joseph,168,"['t͡ɕ', 'o', 's', 'ɤ', 'pʰ', 'x']","['ts\\', 'o', 's', '7', 'p_h', 'x']"
9586,System,168,"['s', 'i̯', 's', 'tʰ', 'ɤ', 'm']","['s', 'i_^', 's', 't_h', '7', 'm']"
9587,U,168,['u'],['u']
9638,Center,167,"['t͡sʰ', 'ə', 'n', 'tʰ', 'ɻ̩']","['ts_h', '@', 'n', 't_h', 'r\\`=']"
9639,N,167,['n'],['n']
9749,Game,165,"['k', 'a', 'm', 'ɤ']","['k', 'a', 'm', '7']"
9750,LED,165,"['l', 'ɤ', 't']","['l', '7', 't']"
9751,Society,165,"['s', 'o', 't͡sʰ', 'z̩', 'ɤ', 'tʰ', 'i̯']","['s', 'o', 'ts_h', 'z=', '7', 't_h', 'i_^']"
9798,Black,164,"['p', 'l', 'a', 't͡sʰ', 'kʰ']","['p', 'l', 'a', 'ts_h', 'k_h']"
9799,Park,164,"['pʰ', 'ɑ', 'ɻ', 'kʰ']","['p_h', 'A', 'r\\`', 'k_h']"
9800,Pro,164,"['pʰ', 'ʐ', 'o']","['p_h', 'z`', 'o']"
9844,Company,163,"['t͡sʰ', 'o', 'm', 'pʰ', 'a', 'n', 'i̯']","['ts_h', 'o', 'm', 'p_h', 'a', 'n', 'i_^']"
9881,DJ,162,"['t', 't͡ɕ']","['t', 'ts\\']"
9882,St,162,"['s', 'tʰ']","['s', 't_h']"
9883,page,162,"['pʰ', 'a', 'k', 'ɤ']","['p_h', 'a', 'k', '7']"
9926,GB,161,"['k', 'p']","['k', 'p']"
10024,d,159,['t'],['t']
10081,mm,158,"['m', 'm']","['m', 'm']"
10118,OS,157,"['o', 's']","['o', 's']"
10169,Hall,156,"['x', 'a', 'l', 'l']","['x', 'a', 'l', 'l']"
10266,Kong,154,"['kʰ', 'ʊ', 'ŋ']","['k_h', 'U', 'N']"
10267,War,154,"['u̯', 'ɑ', 'ɻ']","['u_^', 'A', 'r\\`']"
10268,kg,154,"['kʰ', 'k']","['k_h', 'k']"
10318,Lee,153,"['l', 'ɤ', 'ɤ']","['l', '7', '7']"
10319,Man,153,"['m', 'a', 'n']","['m', 'a', 'n']"
10320,Mk,153,"['m', 'kʰ']","['m', 'k_h']"
10371,Martin,152,"['m', 'ɑ', 'ɻ', 'tʰ', 'i', 'n']","['m', 'A', 'r\\`', 't_h', 'i', 'n']"
10372,Red,152,"['ʐ', 'ɤ', 't']","['z`', '7', 't']"
10373,San,152,"['s', 'a', 'n']","['s', 'a', 'n']"
