i,word,freq,ipa,xsampa
3004,ବାରଣ,49,"['b', 'a', 'r', 'ɔ', 'ɳ', 'ɔ']","['b', 'a', 'r', 'O', 'n`', 'O']"
3007,ଭୂତାଣୁ,49,"['b̤', 'u', 't', 'a', 'ɳ', 'u']","['b_t', 'u', 't', 'a', 'n`', 'u']"
3009,ମିଶେଇ,49,"['m', 'i', 's', 'e', 'i']","['m', 'i', 's', 'e', 'i']"
3014,ଶିଖ,49,"['s', 'i', 'kʰ']","['s', 'i', 'k_h']"
3015,ଶିଳା,49,"['s', 'i', 'ɭ', 'a']","['s', 'i', 'l`', 'a']"
3021,ସେନାପତି,49,"['s', 'e', 'n', 'a', 'p', 't', 'i']","['s', 'e', 'n', 'a', 'p', 't', 'i']"
3022,ସେହିଭଳି,49,"['s', 'e', 'h', 'i', 'b̤', 'ɭ', 'i']","['s', 'e', 'h', 'i', 'b_t', 'l`', 'i']"
3023,ହରାଇଥିଲେ,49,"['h', 'ɔ', 'r', 'a', 'i', 'tʰ', 'i', 'l', 'e']","['h', 'O', 'r', 'a', 'i', 't_h', 'i', 'l', 'e']"
3026,liver,48,"['l', 'i', 'v', 'e', 'r']","['l', 'i', 'v', 'e', 'r']"
3027,or,48,"['o', 'r']","['o', 'r']"
3028,ଅଂଶର,48,"['ɔ', 'n', 's', 'ɔ', 'r', 'ɔ']","['O', 'n', 's', 'O', 'r', 'O']"
3029,ଅନିୟମିତ,48,"['ɔ', 'n', 'i', 'j', 'm', 'i', 't']","['O', 'n', 'i', 'j', 'm', 'i', 't']"
3032,ଆନିମିଆ,48,"['a', 'n', 'i', 'm', 'i', 'a']","['a', 'n', 'i', 'm', 'i', 'a']"
3033,ଉଠାଇ,48,"['u', 'ʈʰ', 'a', 'i']","['u', 't`_h', 'a', 'i']"
3035,ଏହାଛଡା,48,"['e', 'h', 'a', 't͡ʃʰ', 'ɖ', 'a']","['e', 'h', 'a', 'tS_h', 'd`', 'a']"
3036,କଟକରେ,48,"['k', 'ɔ', 'ʈ', 'ɔ', 'k', 'ɔ', 'r', 'e']","['k', 'O', 't`', 'O', 'k', 'O', 'r', 'e']"
3048,ଟିଭିରେ,48,"['ʈ', 'i', 'b̤', 'i', 'r', 'e']","['t`', 'i', 'b_t', 'i', 'r', 'e']"
3051,ଥାଇପାରେ,48,"['tʰ', 'a', 'i', 'p', 'a', 'r', 'e']","['t_h', 'a', 'i', 'p', 'a', 'r', 'e']"
3052,ଦେଖାଯାଇଥାଏ,48,"['d', 'e', 'kʰ', 'a', 'd͡ʒ', 'a', 'i', 'tʰ', 'a', 'e']","['d', 'e', 'k_h', 'a', 'dZ', 'a', 'i', 't_h', 'a', 'e']"
3053,ଦେଲା,48,"['d', 'e', 'l', 'a']","['d', 'e', 'l', 'a']"
3056,ନେଇଥିଲା,48,"['n', 'e', 'i', 'tʰ', 'i', 'l', 'a']","['n', 'e', 'i', 't_h', 'i', 'l', 'a']"
3058,ପଢିବା,48,"['p', 'ɔ', 'ɖ̤', 'i', 'b', 'a']","['p', 'O', 'd`_t', 'i', 'b', 'a']"
3059,ପଥରରେ,48,"['p', 'ɔ', 'tʰ', 'ɔ', 'r', 'ɔ', 'r', 'e']","['p', 'O', 't_h', 'O', 'r', 'O', 'r', 'e']"
3064,ମଳ,48,"['m', 'ɔ', 'ɭ', 'ɔ']","['m', 'O', 'l`', 'O']"
3070,ରସାୟନ,48,"['r', 'ɔ', 's', 'a', 'j', 'ɔ', 'n', 'ɔ']","['r', 'O', 's', 'a', 'j', 'O', 'n', 'O']"
3072,ଶପଥ,48,"['s', 'ɔ', 'p', 'ɔ', 'tʰ', 'ɔ']","['s', 'O', 'p', 'O', 't_h', 'O']"
3073,ଶିକ୍ଷାର,48,"['s', 'i', 'kʰ', 'j', 'a', 'r']","['s', 'i', 'k_h', 'j', 'a', 'r']"
3076,ସପକ୍ଷରେ,48,"['s', 'ɔ', 'p', 'ɔ', 'kʰ', 'j', 'ɔ', 'r', 'e']","['s', 'O', 'p', 'O', 'k_h', 'j', 'O', 'r', 'e']"
3077,ସମାଧି,48,"['s', 'ɔ', 'm', 'a', 'd̤', 'i']","['s', 'O', 'm', 'a', 'd_t', 'i']"
3080,ସାଧନ,48,"['s', 'a', 'd̤', 'ɔ', 'n', 'ɔ']","['s', 'a', 'd_t', 'O', 'n', 'O']"
3090,ଆହରଣ,47,"['a', 'h', 'ɔ', 'r', 'ɔ', 'ɳ', 'ɔ']","['a', 'h', 'O', 'r', 'O', 'n`', 'O']"
3091,ଆହାର,47,"['a', 'h', 'a', 'r']","['a', 'h', 'a', 'r']"
