i	position	H	language
46	first	4.021104796041128	Bengali
46	later	3.791552059378463	Bengali
47	first	4.039147399300766	Bengali
47	later	3.813325816193453	Bengali
48	first	4.057909933535651	Bengali
48	later	3.809528218320283	Bengali
49	first	4.013922152229842	Bengali
49	later	3.805944739646861	Bengali
50	first	4.023536203687922	Bengali
50	later	3.8005847123661747	Bengali
51	first	4.030763141804042	Bengali
51	later	3.803658666168079	Bengali
52	first	4.038697220429774	Bengali
52	later	3.8104505639821182	Bengali
53	first	4.026738436953543	Bengali
53	later	3.8052575150100245	Bengali
54	first	4.042123359135945	Bengali
54	later	3.8169401276752613	Bengali
55	first	4.0172222828424	Bengali
55	later	3.7958139217151983	Bengali
56	first	4.01862434824114	Bengali
56	later	3.7933892169795738	Bengali
57	first	4.027890901252881	Bengali
57	later	3.8018279384867877	Bengali
58	first	4.032131895694154	Bengali
58	later	3.796315011839375	Bengali
59	first	4.0228739764088175	Bengali
59	later	3.803121876966385	Bengali
60	first	4.018856389141485	Bengali
60	later	3.7994281692097442	Bengali
61	first	4.02586234720288	Bengali
61	later	3.7932911369834668	Bengali
62	first	4.036686827401897	Bengali
62	later	3.7967677715365498	Bengali
63	first	4.04572962529333	Bengali
63	later	3.8126196932339598	Bengali
64	first	4.042120285100961	Bengali
64	later	3.8106122164012977	Bengali
65	first	4.037496011673233	Bengali
65	later	3.7928500478547584	Bengali
66	first	4.026474155806388	Bengali
66	later	3.8068092970077387	Bengali
67	first	4.023977531302301	Bengali
67	later	3.7949749246245936	Bengali
68	first	4.0470993036918115	Bengali
68	later	3.812796186878417	Bengali
69	first	4.0290189397012375	Bengali
69	later	3.809695413656844	Bengali
70	first	4.03856281536657	Bengali
70	later	3.793931259715886	Bengali
71	first	4.032396932168192	Bengali
71	later	3.8106469292477443	Bengali
72	first	4.03255914191136	Bengali
72	later	3.8029520773897993	Bengali
73	first	4.03423621380188	Bengali
73	later	3.7920804870528504	Bengali
74	first	4.0554864472519165	Bengali
74	later	3.7970865236976183	Bengali
75	first	4.048920236021106	Bengali
75	later	3.8194814691953796	Bengali
76	first	4.042227847229279	Bengali
76	later	3.8061587712589997	Bengali
77	first	4.032145950652869	Bengali
77	later	3.807491639141276	Bengali
78	first	4.03054570774043	Bengali
78	later	3.80187947909282	Bengali
79	first	4.015021767063567	Bengali
79	later	3.8094937167508003	Bengali
80	first	4.031516475551876	Bengali
80	later	3.80012741667715	Bengali
81	first	4.013763097940062	Bengali
81	later	3.798915375432272	Bengali
82	first	4.0198420698836985	Bengali
82	later	3.806315385567929	Bengali
83	first	4.033068922115439	Bengali
83	later	3.7983526675407586	Bengali
