i	position	H	language
77	first	3.280450150275258	Korean
77	later	2.290231794237395	Korean
78	first	3.2727264838122663	Korean
78	later	2.2746883482509856	Korean
79	first	3.275289929033829	Korean
79	later	2.2934444054402614	Korean
80	first	3.2746274647316373	Korean
80	later	2.2931753185673442	Korean
81	first	3.273471174466	Korean
81	later	2.2852991840189993	Korean
82	first	3.2745698719054146	Korean
82	later	2.2791998810589478	Korean
83	first	3.2786813402831223	Korean
83	later	2.2895319344973144	Korean
84	first	3.2771101132372946	Korean
84	later	2.2819672448471935	Korean
85	first	3.2730565724267575	Korean
85	later	2.293611050542135	Korean
86	first	3.2825769204791593	Korean
86	later	2.2943356433168596	Korean
87	first	3.2697573020374056	Korean
87	later	2.3002870416677195	Korean
88	first	3.285141376768239	Korean
88	later	2.291767293631604	Korean
89	first	3.2626486577539415	Korean
89	later	2.306225827016639	Korean
90	first	3.282612154279369	Korean
90	later	2.2862886410108656	Korean
91	first	3.2703124889726083	Korean
91	later	2.2832388172531854	Korean
92	first	3.260393674152549	Korean
92	later	2.301733129857896	Korean
93	first	3.2782600514499882	Korean
93	later	2.299195650843486	Korean
94	first	3.1962808220010857	Korean
94	later	2.191073830366652	Korean
95	first	3.279608046027419	Korean
95	later	2.298791821224719	Korean
96	first	3.2797762863008404	Korean
96	later	2.289925880792777	Korean
97	first	3.2726482847174605	Korean
97	later	2.2958484618500847	Korean
98	first	3.286361321715076	Korean
98	later	2.30155190850715	Korean
99	first	3.283498212739619	Korean
99	later	2.2679459712439547	Korean
100	first	3.2882719062269383	Korean
100	later	2.290472864812201	Korean
101	first	3.266721513136718	Korean
101	later	2.2908972463761406	Korean
102	first	3.2756750601202596	Korean
102	later	2.2847283876834785	Korean
103	first	3.2538983271796624	Korean
103	later	2.2960175584527986	Korean
104	first	3.2717461658662494	Korean
104	later	2.283707945041751	Korean
105	first	3.297577309220543	Korean
105	later	2.284976796882871	Korean
106	first	3.30247503923133	Korean
106	later	2.312121015275256	Korean
107	first	3.2768291550154904	Korean
107	later	2.288394204945441	Korean
108	first	3.285854144530076	Korean
108	later	2.298807247206829	Korean
109	first	3.274145010528999	Korean
109	later	2.2928117459031236	Korean
110	first	3.2861562430900255	Korean
110	later	2.2899769740083746	Korean
111	first	3.265609659522725	Korean
111	later	2.2971091403019814	Korean
112	first	3.2899632516355273	Korean
112	later	2.288057180122918	Korean
113	first	3.2773261641272744	Korean
113	later	2.297588689087693	Korean
114	first	3.28535369309774	Korean
114	later	2.287950533286312	Korean
115	first	3.2854807949225493	Korean
115	later	2.3034692488198263	Korean
116	first	3.2722476668079743	Korean
