cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
gi6kli6	0	3.878399255347343e-5	1	1	8	14.654179147510732	-0.16014765311360377	0	-0.09913126381906397	-0.1636271407623058
gi6NCeU	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
gi6Ncoi	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
gi6ncyu	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
gi6npu4	0	3.878399255347343e-5	1	1	8	14.654179147510732	-0.16014765311360377	0	-0.09913126381906397	-0.1636271407623058
gi6nsa1	0	1.034239801425958e-4	4	1	8	13.239141648231888	-0.9947234802971463	0	-0.09913126381906397	-0.1636271407623058
gi6Nsyu	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
gi6Nza1	0	3.231999379456119e-5	2	1	8	14.917213553344526	-0.005012430945747979	0	-0.09913126381906397	-0.1636271407623058
gi6nzo3	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
go1lW4n	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
go1ncEi	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
go1Ngo1	0	1.8099196524954265e-4	1	1	8	12.431786726174284	-1.4708938307297832	0	-0.09913126381906397	-0.1636271407623058
go1Nhou	0	1.3574397393715696e-4	1	1	8	12.846824225453128	-1.2261086116459365	0	-0.09913126381906397	-0.1636271407623058
go1njyu	0	6.463998758912238e-5	1	1	8	13.917213553344526	-0.5948030390454441	0	-0.09913126381906397	-0.1636271407623058
go1NkW4	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
gO1NNA6	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
go1nsai	0	5.17119900712979e-5	1	1	8	14.239141648231888	-0.4049328721974503	0	-0.09913126381906397	-0.1636271407623058
go1NseU	0	3.231999379456119e-5	1	1	8	14.917213553344526	-0.005012430945747979	0	-0.09913126381906397	-0.1636271407623058
go1nsi3	0	9.695998138368356e-5	1	1	8	13.33225105262337	-0.9398084280612935	0	-0.09913126381906397	-0.1636271407623058
go1Nwai	0	8.40319838658591e-5	1	1	8	13.538701930090795	-0.818045639497065	0	-0.09913126381906397	-0.1636271407623058
go1nze6	0	3.619839304990853e-4	1	1	8	11.431786726174284	-2.060684438829479	0	-0.09913126381906397	-0.1636271407623058
go2Nbai	0	3.878399255347343e-5	1	1	8	14.654179147510732	-0.16014765311360377	0	-0.09913126381906397	-0.1636271407623058
go2Ndou	0.007533569339854334	0.0012346237629522374	1	1	8	9.661712820196138	-3.104657404217734	0	-0.09913126381906397	-0.10215829745979872
go2Nfai	0	3.878399255347343e-5	1	1	8	14.654179147510732	-0.16014765311360377	0	-0.09913126381906397	-0.1636271407623058
go2nga2	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
go2NgAi	0	7.756798510694686e-5	1	1	8	13.654179147510732	-0.7499382612132999	0	-0.09913126381906397	-0.1636271407623058
go2NhA4	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
go2Nhau	0	3.878399255347343e-5	1	1	8	14.654179147510732	-0.16014765311360377	0	-0.09913126381906397	-0.1636271407623058
go2nheU	0	6.463998758912238e-5	1	1	8	13.917213553344526	-0.5948030390454441	0	-0.09913126381906397	-0.1636271407623058
go2Njyu	0	5.17119900712979e-5	1	1	8	14.239141648231888	-0.4049328721974503	0	-0.09913126381906397	-0.1636271407623058
go2Nlai	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go2nlou	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go2Nlu4	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go2Nmi4	0	1.6159996897280592e-4	1	1	8	12.595285458457163	-1.3744638139931349	0	-0.09913126381906397	-0.1636271407623058
go2NsE6	0	6.463998758912238e-5	1	1	8	13.917213553344526	-0.5948030390454441	0	-0.09913126381906397	-0.1636271407623058
go2NsI3	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
go2NsW3	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
gO3kbou	0	9.049598262477133e-5	1	1	8	13.431786726174284	-0.8811032226300871	0	-0.09913126381906397	-0.1636271407623058
go3kCyu	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
go3kdau	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go3kdei	0	1.034239801425958e-4	1	1	8	13.239141648231888	-0.9947234802971463	0	-0.09913126381906397	-0.1636271407623058
go3kdou	0	2.844159453921385e-4	1	1	8	11.77971002959459	-1.8554825421331622	0	-0.09913126381906397	-0.1636271407623058
go3kfo1	0	1.034239801425958e-4	2	1	8	13.239141648231888	-0.9947234802971463	0	-0.09913126381906397	-0.1636271407623058
go3kho4	0	3.878399255347343e-5	1	1	8	14.654179147510732	-0.16014765311360377	0	-0.09913126381906397	-0.1636271407623058
go3klau	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go3kleU	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
go3klo6	0	3.231999379456119e-5	1	1	8	14.917213553344526	-0.005012430945747979	0	-0.09913126381906397	-0.1636271407623058
go3ksA2	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go3kse2	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
go3ksi1	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
go3kwai	0	8.079998448640298e-4	1	1	8	10.2733573635698	-2.7439151970405207	0	-0.09913126381906397	-0.1636271407623058
go3kyau	0	1.228159764193325e-4	1	1	8	12.991214134788303	-1.140948799215684	0	-0.09913126381906397	-0.1636271407623058
go3kzu2	0	1.745279664906304e-4	1	1	8	12.48425414606842	-1.439949039244999	0	-0.09913126381906397	-0.1636271407623058
go3Ndou	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
go3Nka4	0	1.3574397393715696e-4	1	1	8	12.846824225453128	-1.2261086116459365	0	-0.09913126381906397	-0.1636271407623058
go3Nla4	0	3.231999379456119e-5	1	1	8	14.917213553344526	-0.005012430945747979	0	-0.09913126381906397	-0.1636271407623058
go3Nlo6	0	4.524799131238566e-5	1	1	8	14.431786726174284	-0.29131261453039103	0	-0.09913126381906397	-0.1636271407623058
go3thoi	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
go3ttyu	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
goi1keU	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
goi1sei	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
goi1yi1	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
goi2bi3	0	8.791038312120645e-4	2	1	8	10.151678806981549	-2.8156800669233992	0	-0.09913126381906397	-0.1636271407623058
goi2dou	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
goi2gA3	0	3.1027194042778744e-4	1	1	8	11.654179147510732	-1.9295194774126918	0	-0.09913126381906397	-0.1636271407623058
goi2gwo	0	1.034239801425958e-4	1	1	8	13.239141648231888	-0.9947234802971463	0	-0.09913126381906397	-0.1636271407623058
goi2pi1	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
goi2si6	0	1.4220797269606924e-4	1	1	8	12.77971002959459	-1.265691934033466	0	-0.09913126381906397	-0.1636271407623058
goi2yu6	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
goi2zi3	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
goi3dou	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
goi3gu1	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
goi3gwo	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
gou1bA3	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
gou1ca4	0	5.882238870610136e-4	1	1	8	10.731347008033191	-2.473797206129094	0	-0.09913126381906397	-0.1636271407623058
gou1Ca4	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
gou1coi	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
gou1Coi	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
gou1Cyu	0	4.524799131238566e-5	1	1	8	14.431786726174284	-0.29131261453039103	0	-0.09913126381906397	-0.1636271407623058
gou1da2	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
gou1dou	0	8.40319838658591e-5	1	1	8	13.538701930090795	-0.818045639497065	0	-0.09913126381906397	-0.1636271407623058
gou1dyu	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
gou1fo1	0	7.110398634803462e-5	1	1	8	13.77971002959459	-0.6759013259337701	0	-0.09913126381906397	-0.1636271407623058
gou1fu1	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
gou1hAu	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
gou1ja1	0	1.2927997517824476e-5	1	1	8	16.239141648231886	0.7746483440019407	0	-0.09913126381906397	-0.1636271407623058
gou1ju1	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
gou1ka1	0	1.745279664906304e-4	1	1	8	12.48425414606842	-1.439949039244999	0	-0.09913126381906397	-0.1636271407623058
gou1lau	0	7.110398634803462e-5	1	1	8	13.77971002959459	-0.6759013259337701	0	-0.09913126381906397	-0.1636271407623058
gou1lei	0	2.585599503564895e-5	2	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
gou1na4	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
gou1pA1	0	1.9391996276736715e-5	1	1	8	15.654179147510732	0.4296429549860923	0	-0.09913126381906397	-0.1636271407623058
gou1sa1	0.9957274520849255	8.40319838658591e-5	2	2	8	13.538701930090795	-0.818045639497065	0	6.718896769958823	7.960837102291488
gou1seU	0	6.463998758912238e-6	1	1	8	17.239141648231886	1.3644389521016367	0	-0.09913126381906397	-0.1636271407623058
gou1si1	0	2.585599503564895e-5	1	1	8	15.239141648231888	0.18485773590224575	0	-0.09913126381906397	-0.1636271407623058
