cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
H	1.8507233215508947	0.024162907746556696	248	4	2	5.37106211180394	-0.3431477658517471	0.41393704168461276	-0.06212770211419303	0.4118800316582623
i	2.3129869871831037	0.008536582915582524	95	6	2	6.8721255915472	0.17070423905156498	-0.07858414866410089	0.7082558041018012	0.9528090549502835
j	2.0823141852648575	0.041981093217870025	364	5	2	4.574116453838701	-0.6159624267043777	0.6108964375681868	0.3230640509938041	0.6828816894260641
J	0	2.2905134567665586e-5	1	1	2	15.413969435722628	3.0947934891952613	-2.416009538113934	-1.2177029614381845	-1.7537886832755305
k	1.1460277640872427	0.10023909745732915	586	3	2	3.3184827649363537	-1.045797605012072	0.8553040801170821	-0.4473194552221902	-0.4127365409977555
K	1.7255171653932826	0.008468470278578676	86	4	2	6.883682896075408	0.17466059678276066	-0.12967094980159424	-0.06212770211419303	0.26536701582808986
l	2.2522151713996155	0.014354688018002633	157	5	2	6.122334214142312	-0.08596831859710657	0.17927303145208215	0.3230640509938041	0.8816954429589835
m	1.9635937296915948	0.05680051436091661	697	5	2	4.13795219556266	-0.7652724869428984	0.9443409506347912	0.3230640509938041	0.5439580732032749
n	1.8199293778679881	0.0440949960317859	494	4	2	4.503241243963238	-0.6402248041347304	0.7676434990554207	-0.06212770211419303	0.37584575269990433
o	2.4814052578237304	0.05629720416712712	587	9	2	4.150792912840018	-0.7608767845582827	0.8561792423345793	1.8638310634257926	1.1498877730398191
p	1.1220932732556803	0.07585999738801097	702	3	2	3.720516867817023	-0.9081711604328793	0.9480098906038792	-0.4473194552221902	-0.44074406508209435
r	1.444569266126485	0.02953938578073357	272	4	2	5.081216361651115	-0.44236929901049643	0.461350651872508	-0.06212770211419303	-0.0633909724046434
R	0	2.1900523402417095e-4	1	1	2	12.15674703022308	1.9797638544937337	-2.416009538113934	-1.2177029614381845	-1.7537886832755305
s	1.5501038495365522	0.09173104549883968	830	4	2	3.446446106912674	-1.0019925156764053	1.033980758133806	-0.06212770211419303	0.060102876175179634
t	0.9430758703028284	0.003825157472800153	59	2	2	8.030265143248576	0.5671647076663646	-0.3230808589489191	-0.8325112083301873	-0.6502256145331512
T	0	7.677238524828964e-4	11	1	2	10.347124907529858	1.3602844198049728	-1.1852118188741627	-1.2177029614381845	-1.7537886832755305
u	2.050967754122017	0.018785826945680675	218	5	2	5.734211565454673	-0.21883252045660354	0.3477576362566861	0.3230640509938041	0.646200903886501
1a	0.5859186610768035	0.0038157141278468173	18	2	3	8.033831195547899	-0.702236333523408	0	-0.5643429561323707	-0.566042789970617
1e	0.520115307509628	1.5571473061351602e-4	2	1	3	12.64880694972577	0.9279974519464271	0	-0.9196700025860856	-0.6388992889966935
2a	1.6256452523896525	0.018226459448870316	68	6	3	5.777821849551903	-1.499168506536213	0	0.8569652296824888	0.5851271015462347
2e	0.9564838575613643	0.0011912679197516602	9	2	3	9.713286368497567	-0.10897112261822658	0	-0.5643429561323707	-0.15575848965430844
2i	0.05017613161566071	0.011233562049808623	13	1	3	6.476040725370745	-1.252523656889453	0	-0.9196700025860856	-1.159208988347836
2O	2.259357473627381	0.004508493987402176	14	6	3	7.793138687046627	-0.7872606283776202	0	0.8569652296824888	1.2867638924779696
2o	1.371914215109956	0.0016917652022784581	11	3	3	9.207254931933612	-0.28772602585895973	0	-0.20901590967865585	0.3041998528828033
2R	0	1.0307310555449514e-4	1	1	3	13.244044434280315	1.1382642679357486	0	-0.9196700025860856	-1.2147632585486214
2u	1.535372333506317	0.0012308495996624506	12	4	3	9.666129798288413	-0.12562911565150484	0	0.14631113677505903	0.48517826200888936
2U	1.1840822118412306	0.002585869139349615	12	3	3	8.595135016779306	-0.5039565370463902	0	-0.20901590967865585	0.09623503921652499
3a	2.3041974239346077	0.005965381099245538	71	9	3	7.389169977013352	-0.9299620150041314	0	1.9229463690436335	1.3364100217220176
3e	1.7397910379788781	0.016297405089360166	53	4	3	5.939213916283606	-1.4421569827693466	0	0.14631113677505903	0.7115076257260925
3i	1.9268261712119605	0.006373855999035573	43	5	3	7.293617859180464	-0.9637156681242698	0	0.5016381832287738	0.9185901566844469
