word	phones	freq	word.length	freq.rank	unig.p	unig.h	min.pairs	min.pairs.2	min.pairs.3	mean.dist	mean.dist.nonmp	mean.dist.all	scaled.unig.h	network	language
naku	naku	287.87103377686793	4	355	2.879032645031269e-4	11.762128231996588	9	67	260	2.7388724035608307	3.6583629893238436	3.6260257913247362	-0.38552332591923466	76	Japanese
daN	daN	287.87103377686793	3	363	2.879032645031269e-4	11.762128231996588	12	78	320	2.7445255474452557	3.280966767371601	3.2355555555555555	-0.2797928710345817	90	Japanese
kaw@	kaw@	287.87103377686793	4	364	2.879032645031269e-4	11.762128231996588	2	35	241	2.849462365591398	3.8023529411764705	3.791324736225088	-0.38552332591923466	37	Japanese
icijiku	icijiku	287.87103377686793	7	356	2.879032645031269e-4	11.762128231996588	1	1	5	2.25	6.350393700787402	6.327450980392157	-1.2977403714047768	2	Japanese
hisa$i	hisa$i	287.87103377686793	6	366	2.879032645031269e-4	11.762128231996588	0	2	21	2.7916666666666665	5.347322720694645	5.339595375722543	-1.037770687056803	2	Japanese
otoko	otoko	287.87103377686793	5	362	2.879032645031269e-4	11.762128231996588	1	13	78	2.806451612903226	4.699088145896656	4.690596562184024	-0.8554000005823437	14	Japanese
uuN	uuN	279.874616171955	3	370	2.7990595160026235e-4	11.802770216493935	8	68	248	2.732307692307692	3.4234234234234235	3.3896296296296295	-0.25991039704828167	76	Japanese
heya	heya	279.874616171955	4	373	2.7990595160026235e-4	11.802770216493935	1	22	166	2.857894736842105	3.955346650998825	3.947245017584994	-0.36364513412716726	23	Japanese
d@buN	d@buN	279.874616171955	5	371	2.7990595160026235e-4	11.802770216493935	0	5	31	2.7837837837837838	4.9159919028340084	4.911021233569262	-0.8286664692488502	5	Japanese
nakereba	nakereba	279.874616171955	8	374	2.7990595160026235e-4	11.802770216493935	0	0	0	0	7.152838427947598	7.121739130434783	-1.1505329353555749	0	Japanese
s@$o	s@$o	279.874616171955	4	369	2.7990595160026235e-4	11.802770216493935	1	13	142	2.8853503184713376	4.0411280846063455	4.0328253223915596	-0.36364513412716726	14	Japanese
